categorie,designation,unite,prix_bas,prix_moyen,prix_haut,source,notes,groupe_variante,est_defaut
Sanitaire,Douche fourniture pose,u,1000,1100,1200,SFTJ 130226 2026,Devis reel,,0
Sanitaire,WC fourniture pose,u,250,280,350,SFTJ 130226 2026,Devis reel,,0
Sanitaire,Lavabo fourniture pose,u,180,250,350,SFTJ 130226 2026,Devis reel,,0
Plaquiste,Cloison placo BA13 standard,m2,50,60,80,PRESTIGE PEINTURES 1008 2026,Devis reel,,0
Syndic,Gestion syndic copropriete 4 lots,annee,166.67,166.67,166.67,LEBLOND IMMOBILIER 27rue arsenal 2026,Devis reel,,0
Syndic,Prestation horaire syndic (reunion visite dossier),heure,90,90,90,LEBLOND IMMOBILIER 27rue arsenal 2026,Devis reel,,0
Syndic,Honoraire mutation etat date,forfait,316.67,316.67,316.67,LEBLOND IMMOBILIER 27rue arsenal 2026,Devis reel,,0
Architecture,Releve de batiment,u,580,580,580,ATELIER DESSIN BATIMENT 17 DEV00000750 2026,Devis reel,,0
Architecture,Dossier APS APD plans facades profil,u,1360,1360,1360,ATELIER DESSIN BATIMENT 17 DEV00000750 2026,Devis reel,,0
EtudeSol,Etude geotechnique G1 PGC avec sondage,forfait,890,890,890,GPH CONSULTING 2508125 2025,Devis reel,,0
Recyclage,Depot 3 bennes 30m3 DIB,forfait,360,360,360,LOCA RECUPER St Gelais 09-04-2026,Devis reel,,0
Recyclage,Traitement DIB par tonne (TGAP incluse),t,220,220,220,LOCA RECUPER St Gelais 09-04-2026,Devis reel,,0
Volets,Decapage peinture volets bois pair,pair,350,350,350,EIRL BONNET CEDRIC 00109 2026,Devis reel,,0
Electricite,Points lumineux supplementaires,u,18,18,18,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Alimentation chauffage electrique,u,114.75,114.75,114.75,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Alimentation 2P+T directe ballon eau chaude,u,156.21,156.21,156.21,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Pot de centre ampoule non fournie,u,18.52,18.52,18.52,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Prise 2P+T 10/16A directe four,u,105.82,105.82,105.82,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Prise 2P+T 10/16A directe lave-linge,u,105.82,105.82,105.82,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Extracteur individuel hygro diametre 120,forfait,520.75,520.75,520.75,LAMBA17 I-26-06-8 2026,Devis reel maison,,0
Electricite,Point lumineux va-et-vient a voyant,u,173.48,173.48,173.48,LAMBA17 I-26-06-8 2026,Devis reel,,0
Electricite,Prise 2P+T 10/16A exterieur encastree,u,84.39,84.39,84.39,LAMBA17 I-26-06-8 2026,Devis reel,,0
Sanitaire,Ballon eau chaude extra plat 80L,u,800,800,800,SFTJ 130226 2026,Devis reel MALICIO,,0
Couvreur,Enlevement eternits amiantés,m2,28.5,28.5,28.5,EI COLLARD GAETAN 14-2026 2026,Devis reel desamiantage,,0
Couvreur,Location nacelle thermique,jour,960,960,960,EI COLLARD GAETAN 14-2026 2026,Devis reel 2 jours,,0
Couvreur,Mise en dechetterie eternits amiantes,forfait,345,345,345,EI COLLARD GAETAN 14-2026 2026,Devis reel,,0
Couvreur,Forfait EPI amiante,forfait,175,175,175,EI COLLARD GAETAN 14-2026 2026,Devis reel,,0
Peinture,Ponçage bandes + impression murs plafonds,m2,4,4,4,Guillaume MILCENT D08 2026,Devis reel loft,,0
Peinture,Application mat plafonds,m2,10,10,10,Guillaume MILCENT D08 2026,Devis reel,,0
Peinture,Application velours murs,m2,15,15,15,Guillaume MILCENT D08 2026,Devis reel,,0
Peinture,Mise en peinture portes,u,70,70,70,Guillaume MILCENT D08 2026,Devis reel,,0
Peinture,Pose sol stratifie + sous-couche,m2,36,36,36,Guillaume MILCENT D08 2026,Devis reel,,0
Peinture,Pose sol PVC + sous-couche,m2,36,36,36,Guillaume MILCENT D08 2026,Devis reel,,0
Peinture,Pose plinthes MDF + peinture,ml,8,8,8,Guillaume MILCENT D08 2026,Devis reel,,0
Peinture,Ponçage bandes + impression studios,m2,4,4,4,Guillaume MILCENT D09 2026,Devis reel 4 studios,,0
Electricite,Refection 3 TGBT normes protections diff,forfait,2500,2500,2500,SFTJ 130226 2026,Devis reel,,0
Electricite,Passage terre ensemble installation,forfait,2500,2500,2500,SFTJ 130226 2026,Devis reel,,0
Electricite,6 prises 16A veranda,forfait,270,270,270,SFTJ 130226 2026,Devis reel,,0
Electricite,2 eclairages telerupteur 3 boutons veranda,u,110,110,110,SFTJ 130226 2026,Devis reel,,0
Electricite,10 prises 16A cuisine,u,450,450,450,SFTJ 130226 2026,Devis reel,,0
Electricite,3 prises 20A cuisine,u,150,150,150,SFTJ 130226 2026,Devis reel,,0
Electricite,Plaque 32A,u,65,65,65,SFTJ 130226 2026,Devis reel,,0
Electricite,2 eclairages telerupteur cuisine,u,110,110,110,SFTJ 130226 2026,Devis reel,,0
Electricite,Spot encastre INDIGO simple allumage,u,183.00,183.00,183.00,LP ELEC EI DEV-202606-00499 2026,Devis reel renovation maison Aytre,,0
Electricite,Point lumineux supplementaire spot,u,75.00,75.00,75.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Alimentation miroir 1.5mm,u,72.00,72.00,72.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Seche-serviettes connecte Riva 750W,u,425.43,425.43,425.43,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Prise 2P+T affleurante ESSENSYA,u,79.00,79.00,79.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Va et vient commandant spot encastre,u,212.00,212.00,212.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Prise RJ45 cable CAT6,u,93.00,93.00,93.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Ligne directe plaque 32A 6mm,u,174.00,174.00,174.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Ligne directe four 2.5mm,u,154.00,154.00,154.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Ligne directe lave-vaisselle 2.5mm,u,154.00,154.00,154.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Telerupteur BP commandant DCL,u,460.30,460.30,460.30,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Tableau electrique preequipe Gamma,u,2034.72,2034.72,2034.72,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Coffret communication Gamma+ RJ45,u,508.77,508.77,508.77,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Mise a la terre fourniture pose,u,450.00,450.00,450.00,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Electricite,Gaine technique logement HAGER 13M,u,187.80,187.80,187.80,LP ELEC EI DEV-202606-00499 2026,Devis reel,,0
Huissier,Constat etat lieux avant travaux 2h base,forfait,300.00,300.00,300.00,HUIS-ALLIANCE KFM 2026,Devis reel NIORT,,0
Huissier,Heure supplementaire constat,h,160.00,160.00,160.00,HUIS-ALLIANCE KFM 2026,Devis reel,,0
Menuiserie,Decapage peinture porte entree,u,550.00,550.00,550.00,EIRL BONNET CEDRIC 00109 2026,Devis reel,,0
Dechets,Location benne 30m3 DIB,u,4.00,4.00,4.00,METAL FER ENVIRONNEMENT DE04260040 2026,Devis reel,,0
Dechets,Depot benne 30m3,u,120.00,120.00,120.00,METAL FER ENVIRONNEMENT DE04260040 2026,Devis reel,,0
Dechets,Rotation benne 30m3,u,120.00,120.00,120.00,METAL FER ENVIRONNEMENT DE04260040 2026,Devis reel,,0
Dechets,Retrait benne 30m3,u,120.00,120.00,120.00,METAL FER ENVIRONNEMENT DE04260040 2026,Devis reel,,0
Dechets,Traitement DIB melange non dangereux,tonne,200.00,200.00,200.00,METAL FER ENVIRONNEMENT DE04260040 2026,Devis reel TGAP 2026,,0
Maconnerie,Forfait petite decoupe,u,75.76,75.76,75.76,CHEVALLIER 1638 2026,Devis reel,,0
Demolition,Demolition d'agglos creux a la pioche,m2,22.73,22.73,22.73,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Reprise des aciers au scellement chimique,u,32.85,32.85,32.85,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Fabrication d'un pilier 30x30 en beton arme,ml,115.09,115.09,115.09,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Enduit sur pilier,ml,56.07,56.07,56.07,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Seuil de porte et porte-fenetre en beton coffre,ml,88.13,88.13,88.13,CHEVALLIER 1638 2026,Devis reel,,0
Dechets,Sortie des gravats a la brouette + chargement camion + transport,m3,114.37,114.37,114.37,CHEVALLIER 1638 2026,Devis reel,,0
Terrassement,Decapage du sol sur 20cm,m2,45.86,45.86,45.86,CHEVALLIER 1638 2026,Devis reel,,0
Terrassement,Chargement des deblais sur camion,m3,53.78,53.78,53.78,CHEVALLIER 1638 2026,Devis reel,,0
Terrassement,Fourniture et pose de geotextile (bidim),m2,7.52,7.52,7.52,CHEVALLIER 1638 2026,Devis reel,,0
Terrassement,Fabrication d'une allee en grave bleue ep 15cm en 0/31.5,m2,37.54,37.54,37.54,CHEVALLIER 1638 2026,Devis reel,,0
Demolition,Demolition manuelle (main d'oeuvre),h,58.19,58.19,58.19,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Enduit monocouche projete finition talochee epongee,m2,45.48,45.48,45.48,CHEVALLIER 1638 2026,Devis reel,,0
Terrassement,Fouille en rigole mecanique,ml,29.14,29.14,29.14,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Semelle de fondation en beton de ciment arme,m3,570.07,570.07,570.07,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Maconnerie d'agglos creux de 20 en elevation,m2,64.75,64.75,64.75,CHEVALLIER 1638 2026,Devis reel,,0
Maconnerie,Chainage superieur et raidisseur en beton de ciment,ml,35.18,35.18,35.18,CHEVALLIER 1638 2026,Devis reel,,0
Dechets,Traitement des dechets inertes (forfait),u,193.19,193.19,193.19,CHEVALLIER 1638 2026,Devis reel,,0
Demolition,Demolition mur epaisseur 20cm avec evacuation des gravats,m2,108.00,108.00,108.00,EMRT 82 2026,Devis reel,,0
Terrassement,Realisation plate-forme (decaissement 15cm + evacuation terres),m2,56.60,56.60,56.60,EMRT 82 2026,Devis reel,,0
Terrassement,Terrassement fondations 20x50cm pour mur de cloture,ml,47.50,47.50,47.50,EMRT 82 2026,Devis reel,,0
Maconnerie,Realisation fondations mur de cloture (ferraillage + beton),ml,55.00,55.00,55.00,EMRT 82 2026,Devis reel,,0
Maconnerie,Montage parpaings 15x20x50 (fourniture + pose + poteaux beton arme),m2,53.00,53.00,53.00,EMRT 82 2026,Devis reel,,0
Terrassement,Mise en place d'une membrane geotextile,m2,2.20,2.20,2.20,EMRT 82 2026,Devis reel,,0
Terrassement,Mise en place gravillon calcaire 10/20 (fourniture + pose),m3,282.00,282.00,282.00,EMRT 82 2026,Devis reel,,0
Maconnerie,Creation d'ouverture 2.5 a 3m mur 15cm (avec raccord de platre),u,2700,2700,2700,OPUS HABITAT DEV-2025-0203 2025 (RIGUET REMY),Devis reel,,0
Maconnerie,Raccord de zinguerie tour conduit de cheminee,u,600,600,600,OPUS HABITAT DEV-2025-0203 2025 (RIGUET REMY),Devis reel,,0
Plomberie,Creation d'evacuation douche-lavabo-toilette (reprise sur regard),u,1200.00,1200.00,1200.00,OPUS_HABITAT DEV-2025-0204 2025,Devis reel,,0
Maconnerie,Boucher separation en parpaings a la place d'un OSB,u,900.00,900.00,900.00,OPUS_HABITAT DEV-2026-0234 2026,Devis reel,,0
Maconnerie,Reprise de plancher,u,350.00,350.00,350.00,OPUS_HABITAT DEV-2026-0234 2026,Devis reel,,0
Maconnerie,Boucher ouvertures en parpaings 20x20x50,u,700.00,700.00,700.00,OPUS_HABITAT DEV-2026-0246 2026,Devis reel,,0
Couvreur,Recherche de fuite et reparation sur le toit,u,200.00,200.00,200.00,OPUS_HABITAT DEV-2026-0246 2026,Devis reel,,0
Demolition,Demolition cloisons + rangements + cheminee avec evacuation decharge,forfait,3000.00,3000.00,3000.00,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Plaquiste,Plafond rampant en plaques de platre vissees sur ossature metallique,m2,53.50,53.50,53.50,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Plaquiste,Doublage sur ossature metallique (fourniture et pose),m2,59.00,59.00,59.00,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Isolation,Doublage panneau semi-rigide laine minerale 120mm pare-vapeur kraft,m2,25.90,25.90,25.90,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Plaquiste,Plus-value plaque de platre hydrofuge,m2,8.00,8.00,8.00,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Plaquiste,Cloison de distribution plaques de platre + laine de verre 45mm,m2,54.26,54.26,54.26,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Menuiserie,Bloc porte isoplane 83cm (fourniture et pose),u,140.00,140.00,140.00,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Plaquiste,Bandes placo (joints du collage a la finition sans poncage),m2,5.90,5.90,5.90,PRESTIGE_PEINTURES 1008 2026,Devis reel,,0
Demolition,Sciage et demolition d'un muret pour creation de parking + evacuation gravats,u,600.00,600.00,600.00,DAT D1 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Terrassement,Enlevement vegetation/souche + evacuation dechets verts,u,400.00,400.00,400.00,DAT D1 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Terrassement,Creation place de stationnement - gravier,m2,40.00,40.00,40.00,DAT D1 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Terrassement,Creation place de stationnement - enrobe noir,m2,80.00,80.00,80.00,DAT D1 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Maconnerie,Creation place de stationnement - dalle beton,m2,120.00,120.00,120.00,DAT D1 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Demolition,Demolition d'une marquise + evacuation dechets,u,200.00,200.00,200.00,DAT D1 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Demolition,Demolition des cloisons existantes selon nouvelle implantation,u,800.00,800.00,800.00,DAT D2 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Demolition,Depose de la cuisine existante,u,300.00,300.00,300.00,DAT D2 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Demolition,Demolition des rangements du couloir jusqu'a la porte d'entree,u,200.00,200.00,200.00,DAT D2 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Demolition,Demolition de la cheminee et des rangements de la suite parentale,u,500.00,500.00,500.00,DAT D2 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Demolition,Demolition des cloisons existantes selon nouvelle implantation,u,700.00,700.00,700.00,DAT D3 2026,Devis reel - Source devis non retrouvee dans Data Devis - a verifier,,0
Facade,Mise en place d'un echafaudage (protection de chantier),m2,13.00,13.00,13.00,ARTES_ENDUIT 21 2026,Devis reel,,0
Facade,Nettoyage traitement rincage basse pression + traitement fissures + 2 couches peinture facade,m2,37.00,37.00,37.00,ARTES_ENDUIT 21 2026,Devis reel,,0
Terrassement,Amene et repli du materiel,forfait,450.00,450.00,450.00,ROCHE_TP 00001932 2026,Devis reel,,0
Demolition,Sciage et demolition du mur d'entree de parcelle (environ 4ml),forfait,185.00,185.00,185.00,ROCHE_TP 00001932 2026,Devis reel,,0
Terrassement,Arrachage et evacuation d'arbustes,u,75.00,75.00,75.00,ROCHE_TP 00001932 2026,Devis reel,,0
Terrassement,Terrassement terre vegetale sur 25cm + evacuation des terres,m2,12.85,12.85,12.85,ROCHE_TP 00001932 2026,Devis reel,,0
Demolition,Demolition des paves et bordures existants,m2,7.15,7.15,7.15,ROCHE_TP 00001932 2026,Devis reel,,0
Terrassement,Fourniture et pose de geotextile + compactage du fond de forme,m2,2.20,2.20,2.20,ROCHE_TP 00001932 2026,Devis reel,,0
Terrassement,Fourniture et mise en oeuvre de materiaux 0/31.5,m2,18.00,18.00,18.00,ROCHE_TP 00001932 2026,Devis reel,,0
Demolition,Demolition d'un preau existant (~45m2) + evacuation deblais,forfait,3550.00,3550.00,3550.00,ROCHE_TP 00001932 2026,Devis reel,,0
Terrassement,Tranchee + filet de protection + remblaiement + evacuation deblais (passage reseaux),ml,75.00,75.00,75.00,ROCHE_TP 00001932 2026,Devis reel,,0
Assainissement,Fourniture et pose tuyau PVC diam 125 (branchement EU),ml,25.00,25.00,25.00,ROCHE_TP 00001932 2026,Devis reel,,0
Assainissement,Fourniture et pose tabouret de branchement EU diam 250 + tampon fonte,u,285.00,285.00,285.00,ROCHE_TP 00001932 2026,Devis reel,,0
Electricite,Fourniture et pose fourreau electrique diam 90 rouge + sablage,ml,13.00,13.00,13.00,ROCHE_TP 00001932 2026,Devis reel,,0
Electricite,Fourniture et pose de 2 fourreaux telecom diam 45 + aiguillage + sablage,ml,10.65,10.65,10.65,ROCHE_TP 00001932 2026,Devis reel,,0
Electricite,Fourniture et pose regard France Telecom 30x30,u,125.00,125.00,125.00,ROCHE_TP 00001932 2026,Devis reel,,0
Eau,Fourniture et pose conduite AEP diam 25 PE PN16,ml,13.50,13.50,13.50,ROCHE_TP 00001932 2026,Devis reel,,0
Demolition,Demolition du mur existant entre 2 parcelles,ml,48.35,48.35,48.35,ROCHE_TP 00001932 2026,Devis reel,,0
Plomberie,Lot plomberie SdB+cuisine+buanderie complet,forfait,27890,27890,27890,JOTRAU_KEVIN AndillyGrandLoft 2026,Devis reel lot mixte non detaille 120m2,,0
Electricite,Lot electricite complete + PAC multi-split 4 unites,forfait,24800,24800,24800,JOTRAU_KEVIN AndillyGrandLoft 2026,Devis reel lot mixte non detaille,,0
Plaquiste,Lot second oeuvre pieces (doublage isolation cloisons portes parquet peinture),forfait,92210,92210,92210,JOTRAU_KEVIN AndillyGrandLoft 2026,Devis reel lot mixte non detaille 120m2,,0
Plomberie,Lot plomberie SdB+cuisine complet,forfait,9740,9740,9740,JOTRAU_KEVIN AndillyPetitLoft 2026,Devis reel loft 31m2 non detaille,,0
Electricite,Lot electricite complete + 2 radiateurs + seche-serviette,forfait,5400,5400,5400,JOTRAU_KEVIN AndillyPetitLoft 2026,Devis reel non detaille,,0
Plaquiste,Lot second oeuvre pieces (doublage isolation cloisons portes parquet peinture),forfait,23850,23850,23850,JOTRAU_KEVIN AndillyPetitLoft 2026,Devis reel lot mixte non detaille,,0
Dechets,Evacuation dechets de chantier transport tri,m3,79.80,79.80,79.80,COUTANT 19840 2025,Devis reel Niort,,0
Demolition,Depose complete cuisine avec evacuation,forfait,384.00,384.00,384.00,COUTANT 19840 2025,Devis reel,,0
Demolition,Depose appareils sanitaires salle de bain avec evacuation,forfait,384.00,384.00,384.00,COUTANT 19840 2025,Devis reel,,0
Demolition,Depose dressing chambre avec evacuation,forfait,96.00,96.00,96.00,COUTANT 19840 2025,Devis reel,,0
Demolition,Depose moquettes salon cuisine chambre etage avec evacuation,forfait,144.00,144.00,144.00,COUTANT 19840 2025,Devis reel,,0
Electricite,Liaison 2x16 entre tableau et disjoncteur EDF (10ml),forfait,147.77,147.77,147.77,COUTANT 19840 2025,Devis reel,,0
Electricite,Mesure de la terre existante,u,24.00,24.00,24.00,COUTANT 19840 2025,Devis reel,,0
Electricite,Tableau electrique NFC15100 4 rangees 52 modules avec goulotte GTL,u,1224.75,1224.75,1224.75,COUTANT 19840 2025,Devis reel,,0
Electricite,Alimentation 3G1.5 en attente pour VMC,forfait,109.50,109.50,109.50,COUTANT 19840 2025,Devis reel,,0
Electricite,Prise de courant affleurante 20A directe complete (lave-vaisselle/four),u,124.63,124.63,124.63,COUTANT 19840 2025,Devis reel,,0
Electricite,Sortie de cable 32A compris cablage (plaque de cuisson),u,189.51,189.51,189.51,COUTANT 19840 2025,Devis reel,,0
Electricite,Interrupteur va-et-vient avec 4 spots encastrables LED IP65,u,311.22,311.22,311.22,COUTANT 19840 2025,Devis reel,,0
Electricite,Interrupteur simple allumage avec 1 spot encastrable LED IP65,u,168.35,168.35,168.35,COUTANT 19840 2025,Devis reel,,0
Electricite,Liaison equipotentielle des tuyauteries,u,37.92,37.92,37.92,COUTANT 19840 2025,Devis reel,,0
Electricite,Prise de courant affleurante compris cablage,u,92.78,92.78,92.78,COUTANT 19840 2025,Devis reel,,0
Electricite,Interrupteur double allumage avec 3 spots + alimentation miroir,u,243.90,243.90,243.90,COUTANT 19840 2025,Devis reel,,0
Electricite,Prise reseau RJ45 cat6 FTP Grade2 compris cablage,u,142.74,142.74,142.74,COUTANT 19840 2025,Devis reel,,0
Electricite,Interrupteur va-et-vient avec 1 lampe DCL compris cablage,u,185.45,185.45,185.45,COUTANT 19840 2025,Devis reel,,0
Electricite,Coffret de communication eco 8xRJ45 Grade2TV avec repartiteur TV,u,368.14,368.14,368.14,COUTANT 19840 2025,Devis reel,,0
Electricite,Interrupteur a voyant compris ligne attente eclairage exterieur,u,162.70,162.70,162.70,COUTANT 19840 2025,Devis reel,,0
Electricite,Prise television compris cablage,u,114.71,114.71,114.71,COUTANT 19840 2025,Devis reel,,0
Electricite,Prise de courant triple affleurante compris cablage,u,90.37,90.37,90.37,COUTANT 19840 2025,Devis reel,,0
Electricite,Prise de courant double affleurante compris cablage,u,104.20,104.20,104.20,COUTANT 19840 2025,Devis reel,,0
Isolation,Doublage isole 4 faces laine de verre GR32 120mm R3.75 en placo,m2,74.40,74.40,74.40,COUTANT 19840 2025,Devis reel,,0
Plaquiste,Bandes ordinaires a placo sans poncage,m2,7.28,7.28,7.28,COUTANT 19840 2025,Devis reel,,0
Plaquiste,Bandes armees a placo angles sortants sans poncage,ml,7.28,7.28,7.28,COUTANT 19840 2025,Devis reel,,0
Isolation,Mise en oeuvre laine de verre par soufflage combles perdus,forfait,868.30,868.30,868.30,COUTANT 19840 2025,Devis reel,,0
Isolation,Laine de verre a souffler 33cm R7,m2,12.88,12.88,12.88,COUTANT 19840 2025,Devis reel,,0
Dechets,Depose laine de verre existante avec evacuation,forfait,768.00,768.00,768.00,COUTANT 19840 2025,Devis reel,,0
